,const,X1,X2,X3,na1,na2,na3,na4,na_Y
0,1.0,0.522259576326282,0.4574080732516417,0.5102043825383727,0.3653980279672911,0.011728293682529064,0.5756767849668744,0.14634309854955152,0
1,1.0,0.4854126655751856,0.5040388224251575,0.5564297811421403,0.6866492839969139,0.5922055309076273,0.45248429266275525,0.29054830960639544,0
2,1.0,0.3844620091036272,0.6314235264882658,0.5843484939870285,0.3334807244749947,0.4187560589734595,0.6515867450485126,0.7387698412273426,0
3,1.0,0.3605534455816625,0.7045056450489285,0.6592756089642866,0.3966867460250361,0.35345062019578577,0.5009838197296597,0.27584795389043887,0
4,1.0,0.15198956077347886,0.5564795097523436,0.628984677004825,0.6076023948690976,0.6391211449419233,0.6269086296498372,0.56008218261586,0
5,1.0,0.5396645109971896,0.4098456665955892,0.8263856172040751,0.7349980625034271,0.5019897318698595,0.4947766321397576,0.4245277116567808,0
6,1.0,0.39827704894475097,0.5832310375010853,0.529175606213095,0.5529412373056899,0.5857831343570713,0.4388951005455862,0.377014447006412,0
7,1.0,0.47274226248107115,0.3393731549360487,0.7774900537051681,0.43114331501806513,0.3668828007224838,0.4683670673424562,0.7263855109019667,0
8,1.0,0.523987612263389,0.505019521947522,0.4805843870266575,0.6831735865359863,0.6594496473880815,0.6874684752590742,0.3985011920298077,0
9,1.0,0.3347454361727694,0.7629666109447717,0.6251360540956572,0.618510696223811,0.4240223841817252,0.4915811554318011,0.0,0
10,1.0,0.5997799782124511,0.7111856577039759,0.5775980974317017,0.5675252620295457,0.443835536629184,0.4724066644106568,0.4632497470290578,0
11,1.0,0.4669414623005461,0.4205399980040666,0.6588795194225379,0.2690389322496831,0.5871930716221554,0.3271307962010039,0.4548969333297255,0
12,1.0,0.6703226049080176,0.6288324946764366,0.5386791631511381,0.5284564991458807,0.41898816635447744,0.3693532682093826,0.44935579433000084,0
13,1.0,0.4751460307997969,0.4065422711797295,0.8217927347965491,0.3840089642497826,0.19573897278266808,0.2866344766925986,0.34999465295296206,0
14,1.0,0.4971446260814139,0.36936152466471145,0.1998828438297021,0.2645746673644528,0.5051170191396529,0.66829466143738,0.15455560046318662,0
15,1.0,0.4101417042748421,0.20665001255824375,0.674216389562089,0.4631615022387729,0.35254484517670015,0.40083409096790407,0.5546620872844509,0
16,1.0,0.6672979026157135,0.5578921296873267,0.6476514684550867,0.8113835566830749,0.4533572699693721,0.2593651593571001,0.25153546229618295,0
