ID,Y,speed,lanes,curvature,shoulder,urban,county,exposure,noise1,noise2
0,968,43.72700594236812,5,0.0688737932220458,3.201811674284386,1,18,11.250304127795522,-0.6420881901908675,-0.43212427259335195
1,3089,72.53571532049581,4,0.051937109237619676,6.702539760443592,1,4,9.852640188353872,0.029129083208914493,1.6048163854898752
2,812012,61.59969709057025,4,0.07543903236151614,1.879035887984165,1,5,9.85953767087255,-0.5501555425439494,-0.8732140429909276
3,8921,54.93292420985183,4,0.04054403620123017,6.247953987187253,0,12,8.161888294298855,-0.5298401093030507,-1.26045969343601
4,389,32.80093202212183,5,0.02467884920263619,3.3645035181751015,0,22,8.925318385380624,1.067348312954659,0.8913919949797798
5,5901,32.79972601681013,3,0.0371743675395839,2.1120825858795165,1,9,8.679819550276035,-0.02051583313369194,0.48139944739284585
6,14696,27.904180608409973,5,0.013193280540038552,3.1318205070363514,1,23,10.180546826728513,-1.1541003251332027,2.064401522504943
7,16524,68.30880728874675,3,0.009185553406777389,1.7884106850779935,0,24,8.993500083200198,-1.4794368596944507,-0.0834283453501513
8,9396,55.05575058716044,5,0.019582670358563425,9.019161078378827,1,13,9.902926314065502,-0.06055461716355501,-0.028975689417386787
9,20395,60.40362888980228,5,0.09068622815121981,3.9718688631712884,0,3,9.926243988540469,-1.3772391081027937,-0.8236513951720695
10,2372,26.02922471479012,3,0.021324629206549223,2.4527930497436734,1,19,8.615352241470116,1.206197225803702,0.10073547464481439
11,101767,73.49549260809971,4,0.005827628511006576,4.484078410159329,1,22,10.720439528909273,-1.1038487773497239,-1.7337895630054212
12,18612,66.62213204002109,3,0.02946791393966711,3.2053616680649553,1,11,9.183089991745225,-0.012286160835724326,-1.887769043094024
13,149,35.61695553391381,2,0.02108616977340875,7.44419253813326,1,14,10.701463707746555,-1.9452130589095904,-0.5433966790534852
14,26,34.09124836035503,2,0.07130882360140575,9.712199118854944,1,25,9.818489946087979,-1.895324228709076,0.0663199127553087
15,107,34.17022549267169,3,0.0864648893795019,4.380336566976468,0,9,7.463880832527448,-0.20961849402666866,-0.58696210019913
16,8803,40.21211214797688,5,0.023756842047166122,8.610333999722403,0,10,10.631650689789007,3.1989802096780307,-0.5785018753843009
17,1231,51.2378215816119,2,0.04051550407992279,5.658630735596195,0,8,10.636740651490568,-0.5620081027361622,-1.5083023659825285
18,3912,46.59725093210579,2,0.04302114614166582,1.5723566509423348,0,10,9.941482021381873,0.6905829936331914,0.6315569085525753
19,8782,39.5614570099021,5,0.032092849282050466,6.906227420813416,1,1,9.573555821104767,-0.49339946241156546,-0.7126618501640737
20,8720,55.59264473611897,5,0.02773129139078611,5.134344971258201,0,12,10.583696395097693,1.0168438115911553,1.6595382461876076
21,22171,31.97469303260209,4,0.014711461095080133,6.506065232521035,0,26,10.992255384843013,-0.09169151282363068,-0.06924981189071867
