,ID,Y,speed,lanes,shoulder
0,0,3,48.72700594236812,4,9.3672455585349
1,1,0,77.53571532049581,2,5.156765510770731
2,2,1,66.59969709057026,2,4.9725388659087795
3,3,11,59.93292420985183,4,1.7841609656349577
4,4,1,37.80093202212183,3,1.0815501457335674
5,5,0,37.79972601681013,4,8.421068624835117
6,6,0,32.90418060840997,4,6.141331761875181
7,7,1,73.30880728874675,3,3.258245840194487
8,8,0,60.05575058716044,4,1.9173621739026647
9,9,0,65.40362888980228,4,5.554972801696314
10,10,1,31.02922471479012,4,5.839192892611353
11,11,169,78.49549260809971,3,2.0699360124505817
12,12,0,71.62213204002109,2,8.51405747891474
13,13,8,40.61695553391381,2,0.8426436615585109
14,14,0,39.09124836035503,3,3.560930851664217
15,15,0,39.17022549267169,2,6.803844137625221
16,16,1,45.21211214797688,4,2.741203638192007
17,17,0,56.2378215816119,2,8.276751947812718
18,18,0,51.59725093210579,4,7.398678266004035
19,19,0,44.5614570099021,2,7.890228445481342
20,20,0,60.59264473611897,3,1.1910653587671627
21,21,1,36.97469303260209,2,1.4054712799554292
22,22,0,44.60723242676091,2,2.8647373774458362
23,23,27,48.318092164684586,2,5.180771651975611
24,24,2,52.8034992108518,3,7.4801607669940235
25,25,1,69.25879806965068,2,8.365308907609034
26,26,0,39.98368910791799,3,7.043353159571804
27,27,0,55.71172192068058,4,9.285968815306383
28,28,0,59.620728443102124,2,7.387435096159303
29,29,0,32.32252063599989,3,3.062678870046147
30,30,1,60.37724259507192,3,2.650812843385726
31,31,0,38.526206184364575,2,6.9619245030108985
32,32,0,33.25257964926398,4,1.9287056868961427
33,33,2,77.44427686266667,3,0.9271481081026989
34,34,1,78.28160165372796,2,5.322228748561939
35,35,0,70.41986740582306,4,8.216415697789554
36,36,6,45.23068845866854,3,1.0137984246986353
37,37,0,34.883605700319194,3,7.918913237957293
38,38,0,64.21165132560785,4,8.11572004351548
39,39,0,52.007624686980066,4,4.822740000815435
40,40,0,36.10191174223894,2,0.5731031001048681
41,41,0,54.758845505563514,2,1.745898512471864
42,42,0,31.71942605576092,3,7.074262751619323
43,43,3,75.4660201039391,4,7.117779449909495
44,44,1,42.93899908000085,4,8.983552751676653
45,45,0,63.1261142176991,4,5.826861465545829
46,46,0,45.58555380447055,3,1.241073677137774
47,47,28,56.00340105889054,4,1.2141490550497214
48,48,0,57.33551396716398,4,7.211323573568237
49,49,0,39.24272277627635,3,1.8378466510790115
50,50,2,78.47923138822793,2,3.2838549961660535
51,51,0,68.75664116805572,2,4.8721200692191395
52,52,7,76.97494707820945,3,0.247648775761512
53,53,0,74.74136752138244,4,2.4881902701993184
54,54,0,59.89499894055426,3,4.078896085072801
55,55,1,76.09371175115584,2,2.7963631849320625
56,56,0,34.424625102595975,2,1.3637032746756583
57,57,0,39.79914312095726,3,7.280122577961974
58,58,0,32.2613644455269,3,8.13147655167985
