const,X1,X2,X3,na1,na2,na3,na4,na5,Y
1.0,0.5222595763261999,0.4880990868178026,0.060612755569879925,0.3424962285490171,0.09642325736120472,0.29419228091451455,0.5696284943568111,0.39786129209833976,2.0
1.0,0.4854126655751881,0.5322142653503935,0.5624346310733688,0.39486836335799436,0.6160319863280784,0.6544180937953329,0.5574940726014666,0.533834471617772,1.0
1.0,0.38446200910357975,0.5588584704573973,0.4124877705777207,0.5691811919176537,0.4570542303488972,0.42043975761157326,0.5902056993674112,0.41868132191704394,1.0
1.0,0.3605534455815737,0.6303651129956789,0.3560312970653265,0.28032288955334417,0.41423535405121986,0.3266115125199978,0.4253207885596033,0.4366926712832122,2.0
1.0,0.15198956077347278,0.6014569821484262,0.6029931231475182,0.2681269800707572,0.6647064610172773,0.4731361439564898,0.2955722056229473,0.42144763517501427,5.0
1.0,0.539664510997113,0.7898464386470873,0.4844431809873112,0.5186595836757234,0.6619875361085859,0.5935032630990631,0.8210828817612099,0.7120052088675726,5.0
1.0,0.39827704894471405,0.5062042615631066,0.5568824769570031,0.37104412037192086,0.6195978689075549,0.6352633236011787,0.4304471593566204,0.4895944357743294,1.0
1.0,0.47274226248102486,0.7431829900158283,0.3676434010235184,0.6369548663893744,0.5036712347713812,0.465674589386527,0.6543698144118388,0.5788299072937826,4.0
1.0,0.5239876122632987,0.45983126372488076,0.6205670891351951,0.49024949412208957,0.6114900751096176,0.6649658205320116,0.4652874073395865,0.6488548609168708,1.0
1.0,0.3347454361728241,0.5977840514249017,0.41704050240516954,0.09838011076301714,0.5221949534865574,0.4722127489487402,0.5192124824217504,0.43932412152971567,1.0
1.0,0.5997799782125466,0.5524162339770609,0.43416894893711344,0.5921673402905951,0.46364370467131355,0.633182802601331,0.6410820047426088,0.6461167683146523,1.0
1.0,0.4669414623004639,0.6299871052041762,0.5581013660318673,0.4745291287528418,0.6369128692172997,0.5768306714884054,0.6139006921693396,0.6498172674172612,1.0
1.0,0.6703226049078711,0.5152739748308721,0.4126884271304035,0.6440043084864044,0.4276656947637638,0.575257872740245,0.7351205120216583,0.6492065753579463,1.0
1.0,0.4751460307998055,0.7854632243642653,0.21968976699605092,0.42063798772670863,0.3592589726651481,0.35470220353663257,0.7741818153958318,0.4812389944067749,15.0
1.0,0.497144626081465,0.1919439319432959,0.4871467170820184,0.32593563273372583,0.4189524983677281,0.6182723141722412,0.32599409887936676,0.40356532624469454,1.0
1.0,0.4101417042747994,0.6446238370608629,0.3552482556474407,0.4841781330774648,0.428523696907129,0.3460394462477528,0.6056275746829429,0.5136656274829745,2.0
1.0,0.6672979026158767,0.6192716222021162,0.4424004759918027,0.5266733449388026,0.5294443711177679,0.6463390483454157,0.7833339011711897,0.7550449768256798,2.0
1.0,0.14118069916965972,0.6302287161997219,0.7648127010999939,0.20465281343857486,0.856494615594868,0.5221240262435857,0.449308340553373,0.4034972913813634,17.0
1.0,0.37201120134692617,0.7840903283977251,0.3024106783638099,0.3120978902391323,0.4462557070899355,0.28035567974315967,0.7047294617003323,0.5543941965026533,11.0
1.0,0.4054863487848684,0.7174941375160568,0.4381545281886397,0.4519299867620983,0.6040514174016195,0.5247683256517516,0.7115843931570598,0.5172693944358091,4.0
1.0,0.2254016248977898,0.2902890943902688,0.2832407958878062,0.33156191412786085,0.24350664064066294,0.17906363670003939,0.1710144176357975,0.2094579445961571,0.0
1.0,0.3335256529524974,0.6860621207888302,0.330656898395808,0.460224680280066,0.49459741084331216,0.40078099460455996,0.5033402579677035,0.46895103030177626,6.0
1.0,0.13109457447035736,0.4410609246570805,0.12107125644176026,0.2540892514474834,0.16032084809009256,0.15100246929352265,0.13920280893007467,0.08848523606759277,1.0
1.0,0.4782983440269101,0.5445069089783611,0.5969005775478047,0.5896070045373446,0.686965644694305,0.6062830669358449,0.521851539331878,0.6357190965907549,1.0
1.0,0.24380050947802379,0.5801552096030291,0.5193576734237234,0.2795441647927009,0.6596812505213758,0.3564314751270115,0.348034788939971,0.35107586059405793,2.0
1.0,0.5046744379299611,0.37785996353250706,0.5658243566255243,0.46064537181239634,0.44833316827014447,0.6355206133386401,0.45603541486946747,0.5501464127628684,0.0
1.0,0.4118458161778767,0.2956812490376007,0.7966845514276939,0.35043772091635744,0.7686093433502733,0.7567135098614184,0.3146328706502798,0.5463586873839089,1.0
1.0,0.3279394270638234,0.5343821786145824,0.43572482411912034,0.27339241908847883,0.5573041948669979,0.43096019500071064,0.5182607351270149,0.4593730567529352,1.0
1.0,0.2219682717243543,0.5326629410162141,0.2671451962942141,0.35688690949240665,0.32909274755003065,0.12700566677672756,0.39975888299709095,0.20517391338042842,1.0
1.0,0.34996427611132264,0.4199598458761881,0.3831674070515631,0.41389574444900595,0.43009433947711134,0.24478713992854673,0.5481619117005986,0.3491567579325306,0.0
1.0,0.4959687859548559,0.3672681432618726,0.48827267730384855,0.42073152367365313,0.4363136551874793,0.6624427685698882,0.40976981869858053,0.520181307858092,0.0
1.0,0.43188207172590565,0.510993816152836,0.4719415329619616,0.5333684986100197,0.5613731533408256,0.4201660441740569,0.5118857662809235,0.5357458091156706,0.0
1.0,0.5482320991234733,0.463075226584217,0.5530384260039678,0.6762325311279141,0.5229797345778928,0.5390501416979865,0.49903617428651414,0.5707759894267233,0.0
1.0,0.33446216349829977,0.5011389325964276,0.264107095518573,0.37177016198883894,0.2821477205424185,0.19595310123471624,0.3723370545684113,0.3689076985588924,1.0
1.0,0.6863414206639336,0.7991445624404219,0.5884402156934626,0.5343468902771378,0.776693144233201,0.7110309059978428,0.8305956595221019,0.9011218775520785,4.0
